"﻿units",יחידות,Locations,Arrival Time,מי הקפיץ?,Who called?,האם הם יזמו הגעה?,"Did they initiate the arrive? ",האם היו סדירים?,האם היו מילואימניקים?,כמה זמן ארכה הלחימה,References,Location 1,Location 2,Location 3
"Sayeret Matkal ","סיירת מטכ""ל",Kfar Aza Kibbutz Be'eri,800,"הוקפצו על ידי הודעה מהיחידה 'כולם להגיע ליחידה עכשיו' בנוסף ידעו על המלחמה דרך דיווח התקשורת של N12 דני קושמרו ",Called by a message from the unit 'everyone get to the unit now' and also knew about the war through the N12 media report of Danny Kushmaro,"כן, הם יזמו את ההגעה לאחר הידיעות הראשוניות","Yes, they initiated the arrival after the initial news","כן ",כן,שעתיים,"1. ""אמרתי לו להחזיק חזק ושעוד מעט באים להציל אותנו"": ידין גלמן נפרד מחברו סרן דוד מאיר ז""ל שלחם איתו בקרב בבארי. 27/10/2023 2. אבל בירושלים: שלושה מתושבי העיר נהרגו במתקפת הטרור בדרום. 10/10/2023. 3. כך הצליחה כיתת הכוננות בקיבוץ מפלסים להתמודד עם מחבלי חמאס 13/10/2023",Kfar Aza,Kibbutz Be’eri,
" Paratroopers Brigade",יחידת צנחנים,"Kibbutz Be'eri, Kibbutz Kfar Aza and Kibbutz Alumim, Kibbutz Nahal-Oz",800,הלוחמים הגיעו מהראשונים לזירה לאחר הידיעות השונות,The fighters were first to arrive at the arena after the various news,"לא ידוע מי יזם את ההגעה, רוב המידע מתמקד בלחימה של היחידה בלב הרצועה כבר לאחר אירועי ה-7/10","It is unknown who initiated the arrival, most of the information focuses on the unit's fighting in Gaza Strip already after the events of 7/10",כן,כן,48 שעות,סיירת צנחנים: לחימה עיקשת בשבת 7 באוקטובר בנחל עוז. 17/10/2023,,,
"Egoz, Commando ",קומנדו של יחידת אגוז,Kisufim military base,1200,הגיעו בהוראות ממפקדים וגם כיחידים,They arrived with instructions from commanders and also as individuals,"כן, הגיעו לאחר כמה ידיעות על חדירת מחבלים לקיבוץ כיסופים.","Yes, after some news came about the infiltration of terrorists into Kibbutz Kisufim",כן,לא,9 שעות,מעטים מול רבים: לוחמי אגוז משחזרים לראשונה את הקרב ההירואי בכיסופים. 17/10/2023,,,
"Duvdevan, Commando ",קומנדו דובדבן,Kibbutz Kfar Aza,800,חלקם הגיע באופן עצמאי לנוכח הידיעות הרבות וחלקם הוקפץ בהמשך על ידי המפקדים ועל ידי הצוות שהגיע ראשון לזירה,Some of them arrived independently in call of the many reports and some came later by the commanders and by the team that arrived first at the scene,"כן, לוחמים רבים הגיעו כבר בשעות הראשונות של הלחימה לאזור ופעלו לבד. לאחר מכן הוקפצו כוחות נוספים ","Yes, many fighters already arrived in the first hours of the fighting in the area and acted alone. After that, additional forces were called",כן,"כן, ישנו צוות מילואים פעיל מאוד ביחידה",60 שעות,"1. גבורת לוחמי דובדבן: אור נהרג בהיתקלות בכפר עזה – כשלחם לצד אחיינו. 08/10/2023. 2. ""זר לא יבין"": צוות הפריצה הסודי של יחידת דובדבן נחשף לראשונה. 16/01/2024. 3. מפקד דובדבן: ""לא נזוז מעזה עד שחמאס יושמד, זו הבטחה של כל היחידה"". 14/10/2023",,,
Shaldag,שלדג,"Kibbutz Be'eri, Re’im military base and Kibbutz Alumim",900,"הוקפצו בצורה מסודרת על ידי מפקד היחידה והגיעו לנקודות החשובות בעזרת מסוקים ",Were called in an orderly manner by the commander of the unit and reached the important points with the help of helicopters,"כן, לאחר הידיעות הרבות על חדירות המחבלים בדרום היחידה יזמה את הגעתה ע""י מסוקים לנקודות הלחימה. ההגעה במסוקים סייעה להם להיחלץ מהיתקלויות בכבישים.","Yes, after the many news about the infiltration of the terrorists in the south, the unit initiated its arrival by helicopters to the combat points. The arrival by helicopters helped them to escape from road clashes.",כולם לוחמים של היחידה,לא,"8 שעות ",תיעודים יוצאי דופן מהקרב של יחידת העילית שלדג. 24/10/2023,"Kibbutz Be'eri ","Re’im military base ",Kibbutz Alumim
Unit 669,יחידה 669,Kibbutz Kisufim,800,לוחמי היחידה התארגנו אחד עם השני והגיעו לשטח מבלי להבין לחלוטין מה המשימה שלהם ומול מה הם מתמודדים. לאחר מכן הגיעו גם מסוקי חילוץ,"The fighters of the unit organized with each other and arrived in the field without fully understanding what their mission was and what they were facing. After that, rescue helicopters also arrived","כן, לאחר הידיעות הרבות לוחמי היחידה הגיעו ברכבים לשטח והחלו לפעול עם אנשי קשר מיחידות אחרות שכבר היו במקום","Yes, after the many reports, the unit's fighters arrived in vehicles to the area and began to work with contacts from other units that were already there",כולם לוחמים של היחידה,לא,"36 שעות ",זמן אמת עונה 7 פרק 10 | יחידת החילוץ 669. 26/10/2023,,,
Refaim,יחידת רפאים,"Kibbutz Be'eri, Kibbutz Re'im, Kibbutz alumim and Kibbutz Orim.",700,חלקם נכחו במקום בעת ההתקפה והאחרים הגיעו על פי הוראתו של מפקד היחידה.,Some of them were present at the time of the attack and the others arrived according to the order of the unit commander.,"כן, הלוחמים שכבר היו במקום ואלה שהגיעו ראשונים לזירה הודיעו לשאר הצוות להגיע","Yes, the fighters who were already there and those who arrived first in the arena informed the rest of the team to arrive",כן,"Unknown ",-,"1. ""תמיד היה האיש הנכון - במקום הנכון"": הקצין מיחידת הרפאים שנפל ברעים. 27/10/2023. 2. להקות הרחפנים שחיסלו 100 מחבלים: תיעוד מיוחד עם יחידת רפאים, וההקלטה האחרונה של המפקד שנפל. 28/12/2023. ",,,
Yahalom,יהלום,"Kfar Aza, Military base Re'im, cross section Sa'ad",800,"הוקפצו ע""י מפקד היחידה בשעה 7:00 בבוקר ",They were called by the commander of the unit at 7:00 in the morning,"כן, הוקפו על ידי המפקדים לאחר שהתחילו להגיע ידיעות ראשונות על חדירות מחבלים, עוד לפני שהבינו את גובה האירוע","Yes, they were surrounded by the commanders after the first reports of terrorist infiltration began to arrive, even before they realized the size of the incident",כן,כן,"17 שעות ","7 באוקטובר, שעה אחרי שעה, עם צוות הקומנדו שראה הכול. 20/10/2023",,,
89 Brigade,חטיבה 89,"Kfar Aza, Kibbutz Kisufim, Kibbutz Sa'ad, Nahal Oz",800,"הוקפצו בשעות הבוקר המוקדמות ע""י מפקדי היחידה",They were called in the early hours of the morning by the commanders of the unit,"כן, הוקפצו ע""י המפקדים והגיעו למקום גם ברכבים וגם באופן רגלי על מנת לסייע בקרבות השונים ובפינוי פצועים וגופות.","Yes, they were called by the commanders and arrived at the scene both in vehicles and by walk in order to assist in the various battles and to evacuate the wounded and dead bodies.",כן,כן," 12 שעות","1. היינו נצורים שעות. אבא שלי, בן 62, נלחם במחבלים כדי לחלץ אותנו. המדינה נכשלה. 08/10/2023. 2. ""כל אחד מהם גדל בסביבה שונה, אך ביום פקודה התייצבו ראשונים"". 03/01/2024",,,
Yamam,"ימ""ם","Kibbuts Be'eri, Mefalsim, Nahal Oz, Nir Am, a lot of cross sections and Sderot police station.",700,הצוות הכונן שהיה באותה שבת יצא מיד עם התחלת הידיעות על חדירות מחבלים,The on-call team that was there that Saturday left as soon as the news of terrorist infiltration began,"כן, ברגע שהגיעו ידיעות ראשונות על חדירת מחבלים ב-06:45 בבוקר יצא הצוות הכונן לאזור ולאחר מכן הקפיץ צוותים נוספים","Yes, as soon as the first reports of terrorist infiltration arrived at 06:45 in the morning, the driving team went to the area and then sent additional teams",כן,כן,"Unknown ","1. קרב החיים והמוות של יחידת ימ""מ ב-7 באוקטובר. 28.10.2023. 2. קצין בכיר: לוחמי הימ""מ חיסלו 200 מחבלים; תשעה לוחמים נהרגו ו-35 נפצעו. 14/10/2023. 3. 9 לוחמי ימ''מ נפלו בלחימה: ""היינו קו ההגנה האחרון בין המחבלים לתושבים"". 15/10/2023
",,,
